NAME,MSINI,A,ECC,MSTAR,MASS
,mjupiter,au,,msun,mjupiter
Kepler-58 d,,0.229287,,,0.0258466
HAT-P-18 b,0.197162,0.0559503,0.084,0.77,0.197205
Kepler-672 b,,0.218893,0,0.95,0.01966
Kepler-357 b,,0.0679912,,,0.0135483
Kepler-1518 b,,0.0670648,0,1.54,0.0277215
Kepler-971 b,,0.084658,0,0.88,0.0158698
K2-18 c,0.0239033,0.0600137,0,0.359,0.0239033
Kepler-406 c,0.00857506,0.0555527,0,1.07,0.00857506
HD 155358 c,0.807031,1.00082,0.16,0.87,0.807031
WASP-43 b,1.7613,0.0142363,0,0.58,1.77609
Kepler-1570 b,,0.169395,0,0.92,0.00364938
Kepler-159 c,,0.242421,,,0.0351084
Kepler-39 b,18.1767,0.155007,0.121,1.1,18.1805
Kepler-920 c,,0.407808,0,0.89,0.0453941
14 And b,4.68383,0.823151,0,2.15,4.68383
Kepler-1130 b,,0.0585387,0,0.9,0.00129651
Kepler-520 b,,0.147232,0,1.1,0.0123008
Kepler-1191 b,,0.0584627,0,0.85,0.0121297
Kepler-1012 b,,0.0600079,0,0.95,0.00709482
Kepler-1145 b,,0.0453661,0,0.79,0.00940137
Kepler-891 b,,0.283142,0,1.06,0.11109
Kepler-727 b,,0.0561729,0,0.89,0.0200617
Kepler-215 b,,0.086925,,,0.0120479
Kepler-294 b,,0.0468277,,,0.0130508
WASP-88 b,0.563202,0.0643804,0,1.45,0.563545
GJ 3138 c,0.0130611,0.056688,0.121224,0.681,0.0130611
GJ 3998 c,0.0197987,0.08911,0.049,0.5,0.0197987
Kepler-29 b,,0.0928723,0,1,0.0397121
Kepler-792 b,,0.10143,0,1.09,0.0144664
Kepler-975 b,,0.0285538,0,0.8,0.0112658
Kepler-24 b,,0.0800144,0,1.03,0.0185071
Kepler-542 b,,0.1064,0,0.93,0.0117248
Kepler-306 b,,0.0544926,,,0.0123086
Kepler-656 b,,0.0217143,0,0.86,0.0289572
Kepler-83 b,,0.0778725,,0.66,0.0240196
Kepler-770 b,,0.136148,0,0.94,0.0174594
Kepler-489 b,,0.122418,0,0.82,0.18782
